filme1,filme2,qtd_atores_compartilhados,atores_compartilhados,generos_compartilhados,similaridade,peso
Drive,"Big Short, The",1,Ryan Gosling,Drama,3,0.333333
Rising Sun,"Grand Budapest Hotel, The",1,Harvey Keitel,Drama,3,0.333333
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Focus,1,Will Smith,Comedy,3,0.333333
Batman Returns,"Other Guys, The",1,Michael Keaton,Action,3,0.333333
True Romance,Lawless,1,Gary Oldman,Crime,3,0.333333
Enchanted April,Sleepy Hollow,1,Miranda Richardson,Romance,3,0.333333
Grosse Pointe Blank,"Phantom of the Opera, The",1,Minnie Driver,Romance,3,0.333333
You Can Count on Me,Love Actually,1,Laura Linney,Drama|Romance,4,0.25
Wild Things,"World Is Not Enough, The",1,Denise Richards,Thriller,3,0.333333
Sling Blade,Primary Colors,1,Billy Bob Thornton,Drama,3,0.333333
"Hunchback of Notre Dame, The",Titan A.E.,1,Jim Cummings,Animation|Children,4,0.25
Sling Blade,"Civil Action, A",1,Robert Duvall,Drama,3,0.333333
"Deer Hunter, The",Kramer vs. Kramer,1,Meryl Streep,Drama,3,0.333333
Mulholland Falls,Dark City,1,Jennifer Connelly,Thriller,3,0.333333
Pride & Prejudice,Into the Wild,1,Jena Malone,Drama,3,0.333333
"Patriot, The",Taking Lives,1,Tchéky Karyo,Drama,3,0.333333
You Only Live Twice,Dragonheart,1,Sean Connery,Action|Adventure,4,0.25
Julie & Julia,The Hunger Games,1,Stanley Tucci,Drama,3,0.333333
"Wings of the Dove, The",Sleepy Hollow,1,Michael Gambon,Romance,3,0.333333
Patriot Games,Deep Blue Sea,1,Samuel L. Jackson,Action|Thriller,4,0.25
Hancock,Sherlock Holmes: A Game of Shadows,1,Eddie Marsan,Action|Adventure|Comedy|Crime,6,0.166667
Kingpin,Fantastic Mr. Fox,1,Bill Murray,Comedy,3,0.333333
The Machinist,"Big Short, The",1,Christian Bale,Drama,3,0.333333
Notting Hill,Small Time Crooks,1,Hugh Grant,Comedy,3,0.333333
Raising Arizona,What Planet Are You From?,1,John Goodman,Comedy,3,0.333333
War Horse,The Imitation Game,1,Benedict Cumberbatch,Drama|War,4,0.25
Awakenings,Silver Linings Playbook,1,Robert De Niro,Drama,3,0.333333
Carrie,Swordfish,1,John Travolta,Drama,3,0.333333
Waiting for Guffman,Best in Show,4,Parker Posey|Catherine O'Hara|Michael Hitchcock|Fred Willard,Comedy,9,0.111111
Lord of War,Dallas Buyers Club,1,Jared Leto,Drama,3,0.333333
Nobody's Fool,Magnolia,1,Philip Seymour Hoffman,Drama,3,0.333333
"Planes, Trains & Automobiles",Bowfinger,1,Steve Martin,Comedy,3,0.333333
Eraser,Becoming Jane,1,James Cromwell,Drama,3,0.333333
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Brüno (Bruno),1,Sacha Baron Cohen,Comedy,3,0.333333
Mission: Impossible III,War of the Worlds,1,Tom Cruise,Action|Adventure|Thriller,5,0.2
True Romance,"Salton Sea, The",1,Val Kilmer,Crime|Thriller,4,0.25
Munich,Skyfall,1,Daniel Craig,Action|Thriller,4,0.25
Mighty Aphrodite,Romy and Michele's High School Reunion,1,Mira Sorvino,Comedy,3,0.333333
"Full Monty, The","Best Exotic Marigold Hotel, The",1,Tom Wilkinson,Comedy|Drama,4,0.25
"Paper, The",Phenomenon,1,Robert Duvall,Drama,3,0.333333
"Paper, The",Jackie Brown,1,Michael Keaton,Drama,3,0.333333
Rob Roy,"Ghost and the Darkness, The",1,Brian McCardie,Action,3,0.333333
Unforgiven,Unleashed (Danny the Dog),1,Morgan Freeman,Drama,3,0.333333
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),She's the Man,1,David Cross,Comedy,3,0.333333
"Duchess, The",The Imitation Game,1,Keira Knightley,Drama,3,0.333333
"Natural, The",Deep Impact,1,Robert Duvall,Drama,3,0.333333
"English Patient, The",Antichrist,1,Willem Dafoe,Drama,3,0.333333
Backdraft,The Machinist,1,Jennifer Jason Leigh,Drama,3,0.333333
Night Shift,Toy Story 3,1,Michael Keaton,Comedy,3,0.333333
Kingpin,Shallow Hal,1,Zen Gesner,Comedy,3,0.333333
"Money Pit, The",You've Got Mail,1,Tom Hanks,Comedy,3,0.333333
Beavis and Butt-Head Do America,Moonrise Kingdom,1,Bruce Willis,Comedy,3,0.333333
Black Panther,Star Wars: Episode VII - The Force Awakens,1,Lupita Nyong'o,Action|Adventure|Sci-Fi,5,0.2
Pearl Harbor,Click,1,Kate Beckinsale,Drama|Romance,4,0.25
Romancing the Stone,Ruthless People,1,Danny DeVito,Comedy,3,0.333333
Swingers,Scream 2,1,Heather Graham,Comedy,3,0.333333
Dangerous Liaisons,Cruel Intentions,1,Swoosie Kurtz,Drama,3,0.333333
State and Main,Pleasantville,1,William H. Macy,Comedy|Drama,4,0.25
Deadpool,Ready Player One,1,T.J. Miller,Action|Sci-Fi,4,0.25
Fast Times at Ridgemont High,"Thin Red Line, The",1,Sean Penn,Drama,3,0.333333
Enemy of the State,Bright,1,Will Smith,Action,3,0.333333
Vanilla Sky,Charlie's Angels: Full Throttle,1,Cameron Diaz,Thriller,3,0.333333
Chain Reaction,Rush Hour,1,Tzi Ma,Action|Thriller,4,0.25
Manhunter,Tombstone,1,Stephen Lang,Action|Drama,4,0.25
(500) Days of Summer,50/50,1,Joseph Gordon-Levitt,Comedy|Drama,4,0.25
"Talented Mr. Ripley, The",Hanna,1,Cate Blanchett,Mystery|Thriller,4,0.25
Mad Max: Fury Road,Transformers: Dark of the Moon,1,Rosie Huntington-Whiteley,Action|Adventure|Sci-Fi,5,0.2
"Last Unicorn, The","Little Mermaid, The",1,Rene Auberjonois,Animation|Children,4,0.25
Hilary and Jackie,Bridget Jones's Diary,1,Celia Imrie,Drama,3,0.333333
"Squid and the Whale, The","Social Network, The",1,Jesse Eisenberg,Drama,3,0.333333
The Imitation Game,Self/less,1,Matthew Goode,Thriller,3,0.333333
Backdraft,"Negotiator, The",1,J.T. Walsh,Action|Drama,4,0.25
Romancing the Stone,Renaissance Man,1,Danny DeVito,Comedy,3,0.333333
Wayne's World,Shrek Forever After (a.k.a. Shrek: The Final Chapter),1,Mike Myers,Comedy,3,0.333333
"Sound of Music, The","New World, The",1,Christopher Plummer,Romance,3,0.333333
Rob Roy,Hellboy II: The Golden Army,1,John Hurt,Action,3,0.333333
"Long Kiss Goodnight, The","Hurt Locker, The",1,David Morse,Action|Drama|Thriller,5,0.2
Despicable Me,The Lego Movie,1,Will Arnett,Animation|Children|Comedy,5,0.2
Adaptation,Lemony Snicket's A Series of Unfortunate Events,1,Meryl Streep,Comedy,3,0.333333
Evolution,American Pie 2,1,Seann William Scott,Comedy,3,0.333333
Dead Calm,"Others, The",1,Nicole Kidman,Thriller,3,0.333333
The Devil's Advocate,"Astronaut's Wife, The",1,Charlize Theron,Thriller,3,0.333333
"Score, The","Illusionist, The",1,Edward Norton,Drama,3,0.333333
Rosewood,Enemy of the State,2,Loren Dean|Jon Voight,Action,5,0.2
Sherlock Holmes,Kingsman: The Golden Circle,1,Mark Strong,Action,3,0.333333
"Ten Commandments, The",Tombstone,1,Charlton Heston,Drama,3,0.333333
Carlito's Way,Out of Sight,1,Luis Guzmán,Crime|Drama,4,0.25
"Client, The",Saving Mr. Banks,1,Bradley Whitford,Drama,3,0.333333
Magnum Force,Unforgiven,1,Clint Eastwood,Drama,3,0.333333
Dracula (Bram Stoker's Dracula),John Wick,1,Keanu Reeves,Thriller,3,0.333333
A.I. Artificial Intelligence,Contagion,1,Jude Law,Sci-Fi,3,0.333333
Eraser,Jurassic World: Fallen Kingdom,1,James Cromwell,Action|Drama|Thriller,5,0.2
True Romance,Interstate 60,1,Gary Oldman,Thriller,3,0.333333
Little Women,3:10 to Yuma,1,Christian Bale,Drama,3,0.333333
Saving Silverman (Evil Woman),School of Rock,1,Jack Black,Comedy,3,0.333333
"Insider, The",Ocean's Thirteen,1,Al Pacino,Thriller,3,0.333333
Fletch,My Best Friend's Wedding,1,M. Emmet Walsh,Comedy,3,0.333333
Patriot Games,"Island, The",1,Sean Bean,Action|Thriller,4,0.25
10 Things I Hate About You,Mona Lisa Smile,1,Julia Stiles,Romance,3,0.333333
"Substitute, The",Boogie Nights,1,Luis Guzmán,Drama,3,0.333333
"Goonies, The",Bad Boys II,1,Joe Pantoliano,Action|Comedy,4,0.25
Pitch Black,Final Fantasy: The Spirits Within,1,Keith David,Sci-Fi,3,0.333333
Rushmore,Marie Antoinette,1,Jason Schwartzman,Drama,3,0.333333
Superbad,Zack and Miri Make a Porno,1,Seth Rogen,Comedy,3,0.333333
Sneakers,Up Close and Personal,1,Robert Redford,Drama,3,0.333333
Rising Sun,Blade,1,Wesley Snipes,Action,3,0.333333
Unforgiven,Extreme Measures,1,Gene Hackman,Drama,3,0.333333
Sgt. Bilko,Antz,1,Dan Aykroyd,Comedy,3,0.333333
Courage Under Fire,"Negotiator, The",1,Regina Taylor,Action|Crime|Drama,5,0.2
Judge Dredd,Wing Commander,1,Jürgen Prochnow,Action|Sci-Fi,4,0.25
"Wings of the Dove, The","King's Speech, The",1,Helena Bonham Carter,Drama,3,0.333333
Zombieland,Now You See Me 2,2,Woody Harrelson|Jesse Eisenberg,Action|Comedy,6,0.166667
Howards End,Love Actually,1,Emma Thompson,Drama,3,0.333333
Bruce Almighty,Waitress,1,Eddie Jemison,Comedy|Drama|Romance,5,0.2
"Astronaut's Wife, The",Mad Max: Fury Road,1,Charlize Theron,Sci-Fi|Thriller,4,0.25
Raising Arizona,Getting Even with Dad,1,Sam McMurray,Comedy,3,0.333333
"Patriot, The",The Expendables 3,1,Mel Gibson,Action,3,0.333333
Chicken Little,Toy Story 3,2,Joan Cusack|Wallace Shawn,Adventure|Animation|Children|Comedy,8,0.125
Gangs of New York,Cloud Atlas,1,Jim Broadbent,Drama,3,0.333333
X-Men Origins: Wolverine,X-Men: Days of Future Past,1,Hugh Jackman,Action|Sci-Fi,4,0.25
Bitter Moon,"English Patient, The",1,Kristin Scott Thomas,Drama|Romance,4,0.25
Stripes,Little Shop of Horrors,1,John Candy,Comedy,3,0.333333
"40-Year-Old Virgin, The","Next Three Days, The",1,Elizabeth Banks,Romance,3,0.333333
Hot Shots!,Hot Shots! Part Deux,3,Charlie Sheen|Valeria Golino|Lloyd Bridges,Action|Comedy|War,9,0.111111
"Hand That Rocks the Cradle, The",Boogie Nights,1,Julianne Moore,Drama,3,0.333333
Where the Heart Is,Toy Story 3,1,Joan Cusack,Comedy,3,0.333333
Wayne's World 2,Mulan,1,James Hong,Comedy,3,0.333333
Much Ado About Nothing,Cold Comfort Farm,1,Kate Beckinsale,Comedy,3,0.333333
National Treasure,"Island, The",1,Sean Bean,Action|Thriller,4,0.25
Underworld: Rise of the Lycans,Harry Potter and the Deathly Hallows: Part 1,1,Bill Nighy,Action|Fantasy,4,0.25
Bowfinger,Tropic Thunder,1,Robert Downey Jr.,Comedy,3,0.333333
Pearl Harbor,13 Going on 30,1,Jennifer Garner,Romance,3,0.333333
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Jason Bourne,1,Tommy Lee Jones,Action,3,0.333333
Jackie Brown,Men of Honor,1,Robert De Niro,Drama,3,0.333333
Spaceballs,Dracula: Dead and Loving It,1,Mel Brooks,Comedy,3,0.333333
Mystic Pizza,Notting Hill,1,Julia Roberts,Comedy|Romance,4,0.25
Rushmore,Saving Mr. Banks,1,Jason Schwartzman,Comedy|Drama,4,0.25
Grosse Pointe Blank,Night at the Museum: Battle of the Smithsonian,1,Hank Azaria,Comedy,3,0.333333
Prometheus,Zootopia,1,Idris Elba,Action,3,0.333333
Zoolander,Megamind,2,Ben Stiller|Will Ferrell,Comedy,5,0.2
Jaws: The Revenge,Children of Men,1,Michael Caine,Thriller,3,0.333333
Chain Reaction,Deep Impact,1,Morgan Freeman,Thriller,3,0.333333
"Bridge Too Far, A",Children of Men,1,Michael Caine,Action|Drama,4,0.25
Rocky II,"Godfather: Part III, The",1,Talia Shire,Drama,3,0.333333
Zombieland,The Amazing Spider-Man 2,1,Emma Stone,Action,3,0.333333
Hellboy,Blade II,1,Ron Perlman,Action|Horror,4,0.25
School of Rock,Be Kind Rewind,1,Jack Black,Comedy,3,0.333333
Eddie,Bruce Almighty,1,Lisa Ann Walter,Comedy,3,0.333333
"Family Man, The",Kick-Ass,1,Nicolas Cage,Comedy,3,0.333333
Simone (S1m0ne),"40-Year-Old Virgin, The",1,Catherine Keener,Comedy,3,0.333333
Moulin Rouge,"Interpreter, The",1,Nicole Kidman,Drama,3,0.333333
Police Academy,Cocoon,1,Steve Guttenberg,Comedy,3,0.333333
Raising Arizona,Madeline,1,Frances McDormand,Comedy,3,0.333333
"English Patient, The",Random Hearts,1,Kristin Scott Thomas,Drama|Romance,4,0.25
Joe Versus the Volcano,Toy Story 3,1,Tom Hanks,Comedy,3,0.333333
Bachelor Party,Toy Story 3,1,Tom Hanks,Comedy,3,0.333333
"Wedding Singer, The",Zero Effect,1,Angela Featherstone,Comedy,3,0.333333
Mr. & Mrs. Smith,Maleficent,1,Angelina Jolie,Action|Adventure,4,0.25
Six Degrees of Separation,Disclosure,1,Donald Sutherland,Drama,3,0.333333
Basquiat,"English Patient, The",1,Willem Dafoe,Drama,3,0.333333
Rushmore,Garfield: The Movie,1,Bill Murray,Comedy,3,0.333333
L.A. Story,Dracula (Bram Stoker's Dracula),1,Richard E. Grant,Romance,3,0.333333
"Fast and the Furious, The",Guardians of the Galaxy 2,1,Vin Diesel,Action,3,0.333333
It's a Wonderful Life,"Bell, Book and Candle",1,James Stewart,Fantasy|Romance,4,0.25
Blood Simple,Primal Fear,1,Frances McDormand,Crime|Drama,4,0.25
RocknRolla,Mad Max: Fury Road,1,Tom Hardy,Action,3,0.333333
You Can't Take It with You,It's a Wonderful Life,3,James Stewart|Lionel Barrymore|H.B. Warner,Romance,7,0.142857
Lara Croft: Tomb Raider,Quantum of Solace,1,Daniel Craig,Action|Adventure,4,0.25
Scary Movie,Scary Movie 2,2,Marlon Wayans|Anna Faris,Comedy,5,0.2
Bull Durham,Little Women,1,Susan Sarandon,Drama,3,0.333333
Training Day,Déjà Vu (Deja Vu),1,Denzel Washington,Thriller,3,0.333333
Air Force One,Random Hearts,2,Harrison Ford|Paul Guilfoyle,,4,0.25
Animal House,Parenthood,1,Tom Hulce,Comedy,3,0.333333
Meet the Fockers,Stranger than Fiction,1,Dustin Hoffman,Comedy,3,0.333333
Mr. Wrong,Toy Story 3,1,Joan Cusack,Comedy,3,0.333333
"Truth About Cats & Dogs, The",Due Date,1,Jamie Foxx,Comedy,3,0.333333
Rob Roy,Snowpiercer,1,John Hurt,Action|Drama,4,0.25
Dolores Claiborne,Road to Perdition,1,Jennifer Jason Leigh,Drama,3,0.333333
Amistad,Deep Impact,1,Morgan Freeman,Drama,3,0.333333
Superbad,Paul,1,Seth Rogen,Comedy,3,0.333333
Moulin Rouge,"Happening, The",1,John Leguizamo,Drama,3,0.333333
Mary Poppins,That Darn Cat!,1,Elsa Lanchester,Children|Comedy,4,0.25
Army of Darkness,Fallen,1,Embeth Davidtz,Fantasy,3,0.333333
"Road to Wellville, The",Con Air,2,John Cusack|Colm Meaney,,4,0.25
Bruce Almighty,I Love You Phillip Morris,1,Jim Carrey,Comedy|Drama|Romance,5,0.2
"Sound of Music, The",Must Love Dogs,1,Christopher Plummer,Romance,3,0.333333
Murder at 1600,Inside Out,1,Diane Lane,Drama,3,0.333333
Vanilla Sky,Oblivion,1,Tom Cruise,Sci-Fi,3,0.333333
"English Patient, The","Single Man, A",1,Colin Firth,Drama,3,0.333333
"English Patient, The",Daybreakers,1,Willem Dafoe,Drama,3,0.333333
Moulin Rouge,"Ghost Writer, The",1,Ewan McGregor,Drama,3,0.333333
Universal Soldier,Johnny Mnemonic,1,Dolph Lundgren,Action|Sci-Fi,4,0.25
Hancock,Zootopia,1,Jason Bateman,Action|Adventure|Comedy,5,0.2
True Romance,Spartan,1,Val Kilmer,Thriller,3,0.333333
Save the Last Dance,Mr. & Mrs. Smith,1,Kerry Washington,Romance,3,0.333333
Johnny Mnemonic,Saw II,1,Dina Meyer,Thriller,3,0.333333
Point Break,Johnny Mnemonic,1,Keanu Reeves,Action|Thriller,4,0.25
Rob Roy,Match Point,1,Brian Cox,Drama|Romance,4,0.25
"Negotiator, The",Deep Blue Sea,1,Samuel L. Jackson,Action|Thriller,4,0.25
"Object of My Affection, The","40-Year-Old Virgin, The",1,Paul Rudd,Comedy|Romance,4,0.25
JFK,Hannibal,1,Gary Oldman,Thriller,3,0.333333
Pleasantville,"Lincoln Lawyer, The",1,William H. Macy,Drama,3,0.333333
Flubber,Wild Wild West,1,Ted Levine,Comedy,3,0.333333
Ransom,Reindeer Games,1,Gary Sinise,Thriller,3,0.333333
Alien: Resurrection,Hellboy II: The Golden Army,1,Ron Perlman,Action|Sci-Fi,4,0.25
Hot Shots! Part Deux,"Devil's Own, The",1,Mitchell Ryan,Action,3,0.333333
Ravenous,Sleepy Hollow,1,Jeffrey Jones,Horror,3,0.333333
Tequila Sunrise,Tombstone,1,Kurt Russell,Action|Drama,4,0.25
Vanilla Sky,Grindhouse,1,Kurt Russell,Sci-Fi|Thriller,4,0.25
I Love Trouble,Notting Hill,1,Julia Roberts,Comedy,3,0.333333
Sherlock Holmes,Snow White and the Huntsman,1,Eddie Marsan,Action,3,0.333333
Bruce Almighty,Dumb and Dumber To,1,Jim Carrey,Comedy,3,0.333333
Extreme Measures,Air Force One,1,Paul Guilfoyle,Thriller,3,0.333333
"Talented Mr. Ripley, The",In the Bedroom,1,Celia Weston,Drama,3,0.333333
Serenity,Dr. Horrible's Sing-Along Blog,1,Nathan Fillion,Sci-Fi,3,0.333333
"Talented Mr. Ripley, The",Rules of Engagement,1,Philip Baker Hall,Drama|Thriller,4,0.25
"Winslow Boy, The",Bridget Jones's Diary,1,Gemma Jones,Drama,3,0.333333
Bridget Jones's Diary,Brooklyn,1,Jim Broadbent,Drama|Romance,4,0.25
Children of Men,Valerian and the City of a Thousand Planets,1,Clive Owen,Action|Adventure|Sci-Fi,5,0.2
The Devil's Advocate,Flight,1,Tamara Tunie,Drama,3,0.333333
Chasing Amy,Changing Lanes,1,Ben Affleck,Drama,3,0.333333
Needful Things,"Client, The",1,J.T. Walsh,Drama,3,0.333333
Man on the Moon,"Cell, The",1,Gerry Becker,Drama,3,0.333333
Wanted,X-Men: First Class,1,James McAvoy,Action|Thriller,4,0.25
Charlie's Angels: Full Throttle,50 First Dates,1,Drew Barrymore,Comedy,3,0.333333
"Last Temptation of Christ, The",Black Swan,1,Barbara Hershey,Drama,3,0.333333
Click,Wedding Crashers,1,Christopher Walken,Comedy|Romance,4,0.25
Red Eye,Sherlock Holmes,1,Rachel McAdams,Thriller,3,0.333333
"Client, The","Forgotten, The",1,Anthony Edwards,Drama|Mystery|Thriller,5,0.2
Murder in the First,Mystic River,1,Kevin Bacon,Drama,3,0.333333
"Definitely, Maybe",Deadpool,1,Ryan Reynolds,Comedy,3,0.333333
It's a Wonderful Life,Funny Girl,1,Frank Faylen,Drama|Romance,4,0.25
Dick Tracy,"Godfather: Part III, The",1,Al Pacino,Crime,3,0.333333
Bowfinger,Kiss Kiss Bang Bang,1,Robert Downey Jr.,Comedy,3,0.333333
Beverly Hills Cop III,Shrek Forever After (a.k.a. Shrek: The Final Chapter),1,Eddie Murphy,Comedy,3,0.333333
Fatal Attraction,Dangerous Liaisons,1,Glenn Close,Drama,3,0.333333
Say Anything...,Bullets Over Broadway,1,John Cusack,Comedy,3,0.333333
Matewan,"Patriot, The",1,Chris Cooper,Drama,3,0.333333
Primal Fear,25th Hour,1,Edward Norton,Crime|Drama,4,0.25
Primal Fear,City of Angels,1,Andre Braugher,Drama,3,0.333333
Constantine,Indiana Jones and the Kingdom of the Crystal Skull,1,Shia LaBeouf,Action,3,0.333333
Tommy Boy,Sgt. Bilko,1,Dan Aykroyd,Comedy,3,0.333333
Donnie Brasco,From Hell,1,Johnny Depp,Crime,3,0.333333
Copycat,"Village, The",1,Sigourney Weaver,Drama|Mystery|Thriller,5,0.2
"40-Year-Old Virgin, The","You, Me and Dupree",1,Seth Rogen,Comedy,3,0.333333
"Scanner Darkly, A",Iron Man 2,1,Robert Downey Jr.,Sci-Fi|Thriller,4,0.25
Eraser,American Ultra,1,Michael Papajohn,Action|Thriller,4,0.25
Lethal Weapon 2,Forever Young,1,Mel Gibson,Drama,3,0.333333
"End of the Affair, The",Children of Men,1,Julianne Moore,Drama,3,0.333333
"Thin Red Line, The",Frequency,1,Jim Caviezel,Drama,3,0.333333
Swordfish,X-Men: Days of Future Past,2,Halle Berry|Hugh Jackman,Action,5,0.2
"Juror, The",Donnie Brasco,1,Anne Heche,Drama,3,0.333333
City of Angels,Adaptation,1,Nicolas Cage,Drama|Romance,4,0.25
Rob Roy,Chain Reaction,1,Brian Cox,Action,3,0.333333
"River Wild, The",Dante's Peak,1,Elizabeth Hoffman,Action|Thriller,4,0.25
Friday,Three Kings,1,Ice Cube,Comedy,3,0.333333
Jurassic World,Her,1,Chris Pratt,Drama|Sci-Fi,4,0.25
Boogie Nights,"Good Girl, The",1,John C. Reilly,Drama,3,0.333333
Brassed Off,Moulin Rouge,1,Ewan McGregor,Drama|Romance,4,0.25
Meet the Fockers,Silver Linings Playbook,1,Robert De Niro,Comedy,3,0.333333
"Exorcist, The",Dreamscape,1,Max von Sydow,Horror,3,0.333333
Dangerous Liaisons,Dangerous Minds,1,Michelle Pfeiffer,Drama,3,0.333333
"Full Monty, The",Black Knight,1,Tom Wilkinson,Comedy,3,0.333333
Charlie and the Chocolate Factory,Rango,1,Johnny Depp,Adventure|Children|Comedy,5,0.2
Dr. Dolittle,Bowfinger,1,Eddie Murphy,Comedy,3,0.333333
Glory,Amistad,1,Morgan Freeman,Drama,3,0.333333
True Romance,Fresh,1,Samuel L. Jackson,Crime|Thriller,4,0.25
City Hall,Jackie Brown,1,Bridget Fonda,Drama|Thriller,4,0.25
Unforgiven,"Chamber, The",1,Gene Hackman,Drama,3,0.333333
Chasing Amy,"Assassination of Jesse James by the Coward Robert Ford, The",1,Casey Affleck,Drama,3,0.333333
Bruce Almighty,Shall We Dance?,1,Lisa Ann Walter,Comedy|Romance,4,0.25
Zodiac,Iron Man 3,1,Robert Downey Jr.,Thriller,3,0.333333
"Wedding Singer, The",Hotel Transylvania,1,Adam Sandler,Comedy,3,0.333333
Bridget Jones's Diary,White Oleander,1,Renée Zellweger,Drama,3,0.333333
"Aviator, The",The Revenant,1,Leonardo DiCaprio,Drama,3,0.333333
My Best Friend's Wedding,About Schmidt,1,Dermot Mulroney,Comedy,3,0.333333
Bonfire of the Vanities,Bruce Almighty,1,Morgan Freeman,Comedy|Drama,4,0.25
My Cousin Vinny,Mouse Hunt,1,Maury Chaykin,Comedy,3,0.333333
Children of Men,Get Carter,1,Michael Caine,Action|Drama|Thriller,5,0.2
Army of Darkness,Lake Placid,1,Bridget Fonda,Horror,3,0.333333
Jungle2Jungle (a.k.a. Jungle 2 Jungle),Toy Story 3,1,Tim Allen,Children|Comedy,4,0.25
Bruce Almighty,"Bounty Hunter, The",1,Jennifer Aniston,Comedy|Romance,4,0.25
Cookie's Fortune,Toy Story 3,1,Ned Beatty,Comedy,3,0.333333
Moulin Rouge,Bewitched,1,Nicole Kidman,Romance,3,0.333333
The Devil's Advocate,"Gift, The",1,Keanu Reeves,Thriller,3,0.333333
Thelma & Louise,What Dreams May Come,1,Lucinda Jenney,Adventure|Drama,4,0.25
Cradle Will Rock,Bruce Almighty,1,Philip Baker Hall,Drama,3,0.333333
Sgt. Bilko,50 First Dates,1,Dan Aykroyd,Comedy,3,0.333333
Bruce Almighty,Foxcatcher,1,Steve Carell,Drama,3,0.333333
21 Grams,"Aviator, The",1,Danny Huston,Drama,3,0.333333
"Social Network, The",Bohemian Rhapsody,1,Joseph Mazzello,Drama,3,0.333333
Shanghai Noon,Meet the Fockers,1,Owen Wilson,Comedy,3,0.333333
Everyone Says I Love You,"Grand Budapest Hotel, The",1,Edward Norton,Comedy,3,0.333333
Miller's Crossing,Transformers,1,John Turturro,Thriller,3,0.333333
Perfume: The Story of a Murderer,Harry Potter and the Deathly Hallows: Part 2,1,Alan Rickman,Drama,3,0.333333
"40-Year-Old Virgin, The",Funny People,2,Leslie Mann|Seth Rogen,Comedy,5,0.2
Widows' Peak,Bridget Jones's Diary,1,Jim Broadbent,Drama,3,0.333333
Wild Wild West,Bad Boys II,1,Will Smith,Action|Comedy,4,0.25
Wayne's World 2,Austin Powers in Goldmember,1,Mike Myers,Comedy,3,0.333333
Rambo III,Army of Darkness,1,Marcus Gilbert,Action|Adventure,4,0.25
On the Waterfront,"Specialist, The",1,Rod Steiger,Drama,3,0.333333
Sling Blade,"Road, The",1,Robert Duvall,Drama,3,0.333333
Jackie Brown,Lake Placid,1,Bridget Fonda,Thriller,3,0.333333
About Last Night...,Wayne's World,1,Rob Lowe,Comedy,3,0.333333
Hannibal,Red Dragon,2,Anthony Hopkins|Frankie Faison,Thriller,5,0.2
Pride and Prejudice,Love Actually,1,Colin Firth,Drama|Romance,4,0.25
Serenity,Deadpool 2,1,Morena Baccarin,Action|Sci-Fi,4,0.25
"40-Year-Old Virgin, The",Sausage Party,1,Seth Rogen,Comedy,3,0.333333
"Little Mermaid, The",Paulie,1,Buddy Hackett,Children|Comedy,4,0.25
Benny & Joon,Fear and Loathing in Las Vegas,1,Johnny Depp,Comedy,3,0.333333
Spy Game,Ocean's Twelve,1,Brad Pitt,Action|Crime|Thriller,5,0.2
Hannah and Her Sisters,Inside Out,1,Lewis Black,Comedy|Drama,4,0.25
"Talented Mr. Ripley, The","Contender, The",1,Philip Baker Hall,Drama|Thriller,4,0.25
River's Edge,True Romance,1,Dennis Hopper,Crime,3,0.333333
"Talented Mr. Ripley, The",Contagion,3,Jude Law|Matt Damon|Gwyneth Paltrow,Thriller,7,0.142857
Lethal Weapon 4,Nightcrawler,1,Rene Russo,Crime|Thriller,4,0.25
"Insider, The",American Gangster,1,Russell Crowe,Drama|Thriller,4,0.25
"Indian in the Cupboard, The","Me, Myself & Irene",1,Richard Jenkins,Adventure,3,0.333333
"Basketball Diaries, The",Three Kings,1,Mark Wahlberg,Drama,3,0.333333
"Color Purple, The",Witness,1,Danny Glover,Drama,3,0.333333
Before Sunrise,Lord of War,1,Ethan Hawke,Drama,3,0.333333
Man on Fire,Inside Man,1,Denzel Washington,Crime|Drama|Thriller,5,0.2
Fear and Loathing in Las Vegas,Cinderella Man,1,Craig Bierko,Drama,3,0.333333
"Curious Case of Benjamin Button, The",The Hobbit: The Battle of the Five Armies,1,Cate Blanchett,Fantasy,3,0.333333
"Flintstones, The",Tarzan,1,Rosie O'Donnell,Children,3,0.333333
"Wedding Singer, The",Music and Lyrics,1,Drew Barrymore,Comedy|Romance,4,0.25
Blade,Ghost Rider,1,Donal Logue,Action|Thriller,4,0.25
Superbad,Kung Fu Panda 2,1,Seth Rogen,Comedy,3,0.333333
Escape from Alcatraz,Gran Torino,1,Clint Eastwood,Drama,3,0.333333
Deep Impact,Gone Baby Gone,1,Morgan Freeman,Drama,3,0.333333
Ocean's Twelve,World War Z,1,Brad Pitt,Action,3,0.333333
"Client, The",Autumn in New York,1,Anthony LaPaglia,Drama,3,0.333333
"X-Files: Fight the Future, The",Eastern Promises,1,Armin Mueller-Stahl,Crime|Thriller,4,0.25
"Deer Hunter, The",Cop Land,1,Robert De Niro,Drama,3,0.333333
"Bear, The (Ours, L')","Patriot, The",1,Tchéky Karyo,Drama,3,0.333333
"Devil's Own, The",Mr. & Mrs. Smith,1,Brad Pitt,Action,3,0.333333
